profile,food_name,meal_name,positive_occurrences,distinct_source_diets,minimum_positive_g,maximum_positive_g,p05_positive_g,p95_positive_g,robust_percentile_sensitivity_available,support_strength,is_serving_recommendation
regular,Baba de moça,Almoço,1,1,250.0,250.0,,,False,weak_lt_5_occurrences,False
regular,Baba de moça,Jantar,2,1,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Banana, da terra, assada, s/ adição de ingredientes",Ceia,9,9,100.0,120.0,,,False,observed_support,False
regular,"Banana, da terra, assada, s/ adição de ingredientes",Lanche da Manhã,8,8,100.0,120.0,,,False,observed_support,False
regular,"Banana, in natura",Café da Manhã,6,6,100.0,100.0,,,False,observed_support,False
regular,"Banana, in natura",Ceia,2,2,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Banana, in natura",Lanche da Manhã,35,28,100.0,120.0,100.0,106.0,True,observed_support,False
regular,"Banana, in natura",Lanche da Tarde,40,29,50.0,150.0,50.0,150.0,True,observed_support,False
regular,"Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal",Almoço,3,3,120.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal",Jantar,14,14,130.0,200.0,,,False,observed_support,False
regular,"Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal",Almoço,23,23,150.0,250.0,150.0,250.0,True,observed_support,False
regular,"Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal",Jantar,29,28,120.0,200.0,150.0,200.0,True,observed_support,False
regular,"Batata, inglesa, s/ casca, assada, s/ óleo, c/ sal",Jantar,3,3,180.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Batata, inglesa, s/ casca, cozida, drenada, s/ óleo, c/ sal",Almoço,11,11,150.0,250.0,,,False,observed_support,False
regular,"Batata, inglesa, s/ casca, cozida, drenada, s/ óleo, c/ sal",Jantar,6,6,150.0,250.0,,,False,observed_support,False
regular,"Batata, inglesa, sauté (c/ margarina e salsa), c/ sal",Jantar,2,2,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Bebida, café - infusão 8% - média, c/ leite (meio a meio), ""média"", s/ açúcar",Café da Manhã,12,12,200.0,200.0,,,False,observed_support,False
regular,"Bebida, café, infusão 10%, s/ açúcar",Café da Manhã,77,43,150.0,200.0,150.0,200.0,True,observed_support,False
regular,"Bebida, café, infusão 10%, s/ açúcar",Lanche da Tarde,14,14,100.0,200.0,,,False,observed_support,False
regular,"Bebida, chá, infusão, s/ açúcar (média de várias ervas)",Ceia,1,1,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Bebida, chá, infusão, s/ açúcar (média de várias ervas)",Lanche da Tarde,2,2,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Bebida, chá, mate, infusão 5%, s/ açúcar",Lanche da Tarde,7,7,200.0,200.0,,,False,observed_support,False
regular,"Bebida, chá, preto, infusão 5%, s/ açúcar",Café da Manhã,3,3,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Bebida, chá, preto, infusão 5%, s/ açúcar",Ceia,1,1,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Berinjela, refogada (c/ óleo, cebola e alho), c/ sal",Jantar,15,15,100.0,120.0,,,False,observed_support,False
regular,"Beterraba, cozida, drenada, s/ óleo, c/ sal",Almoço,20,20,60.0,100.0,60.0,100.0,True,observed_support,False
regular,"Beterraba, cozida, drenada, s/ óleo, c/ sal",Jantar,6,6,80.0,100.0,,,False,observed_support,False
regular,"Beterraba, refogada (c/ óleo, cebola e alho), c/ sal",Almoço,1,1,80.0,80.0,,,False,weak_lt_5_occurrences,False
regular,"Beterraba, s/ casca, crua",Almoço,6,6,50.0,50.0,,,False,observed_support,False
regular,"Beterraba, s/ casca, crua",Jantar,3,3,50.0,50.0,,,False,weak_lt_5_occurrences,False
regular,"Biscoito, arroz",Café da Manhã,1,1,30.0,30.0,,,False,weak_lt_5_occurrences,False
regular,"Biscoito, arroz",Ceia,5,5,20.0,30.0,,,False,observed_support,False
regular,"Biscoito, arroz",Lanche da Tarde,27,26,20.0,40.0,20.0,40.0,True,observed_support,False
regular,"Biscoito, doce, maisena",Ceia,5,5,20.0,20.0,,,False,observed_support,False
regular,"Biscoito, doce, maisena",Lanche da Tarde,11,11,20.0,30.0,,,False,observed_support,False
regular,"Biscoito, doce, simples (média de diferentes tipos)",Lanche da Tarde,1,1,20.0,20.0,,,False,weak_lt_5_occurrences,False
regular,"Biscoito, salgado, cream cracker",Ceia,2,2,20.0,30.0,,,False,weak_lt_5_occurrences,False
regular,"Biscoito, salgado, cream cracker",Lanche da Tarde,6,6,30.0,40.0,,,False,observed_support,False
regular,"Brócolis, flor, refogado (c/ óleo, cebola e alho), c/ sal",Almoço,4,4,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Brócolos, flor, cozido, drenado, s/ óleo, c/ sal",Almoço,22,17,80.0,200.0,80.0,200.0,True,observed_support,False
regular,"Brócolos, flor, cozido, drenado, s/ óleo, c/ sal",Jantar,39,36,80.0,100.0,80.0,100.0,True,observed_support,False
regular,"Canelone, c/ ricota, s/ molho, caseiro, c/ sal",Jantar,4,4,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, c/ sal",Almoço,8,8,120.0,150.0,,,False,observed_support,False
regular,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, c/ sal",Jantar,3,3,100.0,120.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, acém, moída, refogada (c/ óleo, cebola e alho), c/ sal",Almoço,9,9,120.0,150.0,,,False,observed_support,False
regular,"Carne, boi, alcatra, frita (c/ óleo de soja), c/ sal",Almoço,2,2,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, contrafilé, s/ gordura, grelhada/assada, s/ óleo, c/ sal",Almoço,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, contrafilé, s/ gordura, grelhada/assada, s/ óleo, c/ sal",Jantar,9,9,100.0,150.0,,,False,observed_support,False
regular,"Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal",Almoço,18,18,100.0,150.0,,,False,observed_support,False
regular,"Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal",Jantar,3,3,100.0,120.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, lagarto, cozida, s/ óleo, c/ sal",Almoço,12,12,100.0,150.0,,,False,observed_support,False
regular,"Carne, boi, lagarto, cozida, s/ óleo, c/ sal",Jantar,4,4,120.0,120.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, maminha, grelhada/assada, s/ óleo, c/ sal",Almoço,8,8,100.0,150.0,,,False,observed_support,False
regular,"Carne, boi, maminha, grelhada/assada, s/ óleo, c/ sal",Jantar,10,10,100.0,120.0,,,False,observed_support,False
regular,"Carne, boi, miolo de alcatra, grelhada/assada, s/ óleo, c/ sal",Almoço,15,12,100.0,150.0,,,False,observed_support,False
regular,"Carne, boi, miolo de alcatra, grelhada/assada, s/ óleo, c/ sal",Jantar,1,1,120.0,120.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, músculo, s/ gordura, cozida, s/ óleo, c/ sal",Almoço,2,2,120.0,120.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, músculo, s/ gordura, cozida, s/ óleo, c/ sal",Jantar,11,11,100.0,120.0,,,False,observed_support,False
regular,"Carne, boi, patinho, s/ gordura, grelhada/assada, s/ óleo, c/ sal",Almoço,57,49,100.0,150.0,100.0,150.0,True,observed_support,False
regular,"Carne, boi, patinho, s/ gordura, grelhada/assada, s/ óleo, c/ sal",Jantar,11,9,100.0,150.0,,,False,observed_support,False
regular,"Carne, boi, seca, cozida, s/ óleo",Almoço,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, boi, seca, cozida, s/ óleo",Jantar,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, frango, coxa, c/ pele, assada, s/ óleo, c/ sal",Almoço,9,9,100.0,180.0,,,False,observed_support,False
regular,"Carne, frango, coxa, s/ pele, cozida, s/ óleo, c/ sal",Almoço,6,6,120.0,120.0,,,False,observed_support,False
regular,"Carne, frango, peito, s/ pele, cozida, drenada, s/ óleo, c/ sal",Jantar,6,6,120.0,120.0,,,False,observed_support,False
regular,"Carne, frango, peito, s/ pele, grelhada, s/ gordura, s/ óleo, c/ sal",Almoço,16,13,120.0,180.0,,,False,observed_support,False
regular,"Carne, frango, peito, s/ pele, grelhada, s/ gordura, s/ óleo, c/ sal",Jantar,66,49,100.0,150.0,100.0,150.0,True,observed_support,False
regular,"Carne, frango, peito, s/ pele, refogado (c/ óleo, cebola e alho), c/ sal",Almoço,2,2,120.0,120.0,,,False,weak_lt_5_occurrences,False
regular,"Carne, frango, peito, s/ pele, refogado (c/ óleo, cebola e alho), c/ sal",Jantar,10,10,100.0,120.0,,,False,observed_support,False
regular,"Carne, peru, peito, s/ pele, grelhada/assada, s/ óleo, c/ sal",Jantar,7,7,120.0,120.0,,,False,observed_support,False
regular,"Carne, porco, lombo, grelhada/assada, s/ óleo, c/ sal",Almoço,32,32,100.0,180.0,100.0,163.5,True,observed_support,False
regular,"Carne, porco, lombo, grelhada/assada, s/ óleo, c/ sal",Jantar,13,13,100.0,150.0,,,False,observed_support,False
regular,"Castanha de caju, crua, s/ sal",Lanche da Manhã,24,24,15.0,20.0,15.0,20.0,True,observed_support,False
regular,"Castanha de caju, crua, s/ sal",Lanche da Tarde,3,3,20.0,30.0,,,False,weak_lt_5_occurrences,False
regular,"Castanha do Brasil, crua",Ceia,18,14,5.0,30.0,,,False,observed_support,False
regular,"Castanha do Brasil, crua",Lanche da Manhã,27,24,10.0,30.0,10.0,30.0,True,observed_support,False
regular,"Castanha do Brasil, crua",Lanche da Tarde,25,20,10.0,20.0,10.0,20.0,True,observed_support,False
regular,"Cebola, branca, assada, s/ óleo, c/ sal",Jantar,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal",Almoço,21,18,80.0,100.0,80.0,100.0,True,observed_support,False
regular,"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal",Jantar,44,31,80.0,100.0,80.0,100.0,True,observed_support,False
regular,"Cenoura, s/ casca, crua",Almoço,10,9,50.0,60.0,,,False,observed_support,False
regular,"Cenoura, s/ casca, crua",Jantar,3,3,50.0,60.0,,,False,weak_lt_5_occurrences,False
regular,"Cereais, barra (média de diferentes sabores)",Lanche da Tarde,4,4,20.0,20.0,,,False,weak_lt_5_occurrences,False
regular,"Cereais, granola, caseira",Ceia,1,1,20.0,20.0,,,False,weak_lt_5_occurrences,False
regular,"Cereais, granola, caseira",Lanche da Manhã,10,10,20.0,30.0,,,False,observed_support,False
regular,"Cereais, granola, caseira",Lanche da Tarde,10,10,30.0,30.0,,,False,observed_support,False
regular,"Cereal matinal, milho",Lanche da Tarde,8,8,30.0,40.0,,,False,observed_support,False
regular,"Chia, semente, seca",Lanche da Manhã,7,7,10.0,10.0,,,False,observed_support,False
regular,"Chia, semente, seca",Lanche da Tarde,1,1,10.0,10.0,,,False,weak_lt_5_occurrences,False
regular,"Chicória, crua",Almoço,9,9,50.0,50.0,,,False,observed_support,False
regular,"Chuchu, s/ casca, cozido, drenado, s/ óleo, c/ sal",Jantar,7,7,100.0,120.0,,,False,observed_support,False
regular,"Chuchu, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal",Jantar,10,10,100.0,100.0,,,False,observed_support,False
regular,"Coco, água",Café da Manhã,2,2,200.0,250.0,,,False,weak_lt_5_occurrences,False
regular,"Couve, crua",Almoço,7,7,40.0,50.0,,,False,observed_support,False
regular,"Couve, crua",Jantar,5,5,50.0,50.0,,,False,observed_support,False
regular,"Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal",Almoço,32,32,60.0,100.0,71.0,100.0,True,observed_support,False
regular,"Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal",Jantar,4,4,50.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Couve-flor, cozida, drenada, s/ óleo, c/ sal",Almoço,1,1,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Couve-flor, cozida, drenada, s/ óleo, c/ sal",Jantar,1,1,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,Cream cheese (média de diferentes sabores),Lanche da Tarde,4,4,30.0,30.0,,,False,weak_lt_5_occurrences,False
regular,"Cuscuz de milho, cozido, c/ sal",Almoço,3,3,120.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Cuscuz de milho, cozido, c/ sal",Café da Manhã,46,45,100.0,150.0,100.0,142.5,True,observed_support,False
regular,"Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal",Almoço,5,5,100.0,100.0,,,False,observed_support,False
regular,"Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal",Jantar,1,1,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Espinafre, folha, refogada (c/ óleo, cebola e alho), c/ sal",Almoço,17,17,80.0,100.0,,,False,observed_support,False
regular,"Espinafre, folha, refogada (c/ óleo, cebola e alho), c/ sal",Jantar,11,11,80.0,100.0,,,False,observed_support,False
regular,"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",Almoço,116,50,80.0,150.0,95.0,120.0,True,observed_support,False
regular,"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",Jantar,11,11,80.0,120.0,,,False,observed_support,False
regular,"Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",Almoço,14,14,100.0,120.0,,,False,observed_support,False
regular,"Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",Jantar,8,8,100.0,100.0,,,False,observed_support,False
regular,"Feijão, guandu, grão, seco, cozido (50% grão e 50% caldo), s/ óleo, cebola e alho, c/ sal",Almoço,9,9,100.0,120.0,,,False,observed_support,False
regular,"Feijão, guandu, grão, seco, cozido (50% grão e 50% caldo), s/ óleo, cebola e alho, c/ sal",Jantar,5,5,100.0,100.0,,,False,observed_support,False
regular,"Feijão, preto, cozido (50% grão e 50% caldo), c/ carne de boi, músculo, s/ gordura, c/ óleo, cebola e alho, c/ sal",Almoço,17,17,100.0,200.0,,,False,observed_support,False
regular,"Goiaba, inteira, in natura",Café da Manhã,9,9,100.0,120.0,,,False,observed_support,False
regular,"Goiaba, inteira, in natura",Ceia,5,5,100.0,200.0,,,False,observed_support,False
regular,"Goiaba, inteira, in natura",Lanche da Manhã,3,3,120.0,120.0,,,False,weak_lt_5_occurrences,False
regular,"Goiaba, inteira, in natura",Lanche da Tarde,4,4,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Grão de bico, cozido, dreando, s/ óleo, c/ sal",Almoço,17,17,100.0,120.0,,,False,observed_support,False
regular,"Grão de bico, cozido, dreando, s/ óleo, c/ sal",Jantar,1,1,120.0,120.0,,,False,weak_lt_5_occurrences,False
regular,"Inhame, s/ casca, cozido, drenado, s/ óleo, c/ sal",Almoço,3,3,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Iogurte, frutas, diet",Lanche da Manhã,8,8,170.0,170.0,,,False,observed_support,False
regular,"Iogurte, frutas, diet",Lanche da Tarde,7,7,150.0,150.0,,,False,observed_support,False
regular,"Iogurte, integral (média de diferentes sabores)",Ceia,3,3,170.0,170.0,,,False,weak_lt_5_occurrences,False
regular,"Iogurte, integral (média de diferentes sabores)",Lanche da Manhã,10,10,170.0,170.0,,,False,observed_support,False
regular,"Iogurte, integral (média de diferentes sabores)",Lanche da Tarde,11,11,170.0,170.0,,,False,observed_support,False
regular,"Iogurte, natural",Ceia,14,13,170.0,170.0,,,False,observed_support,False
regular,"Iogurte, natural",Lanche da Manhã,7,7,170.0,170.0,,,False,observed_support,False
regular,"Iogurte, natural",Lanche da Tarde,20,16,170.0,250.0,170.0,174.0,True,observed_support,False
regular,"Iogurte, natural, desnatado",Café da Manhã,3,3,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Iogurte, natural, desnatado",Ceia,25,22,170.0,250.0,170.0,234.0,True,observed_support,False
regular,"Iogurte, natural, desnatado",Lanche da Manhã,40,31,170.0,200.0,170.0,170.0,True,observed_support,False
regular,"Iogurte, natural, desnatado",Lanche da Tarde,63,40,170.0,170.0,170.0,170.0,True,observed_support,False
regular,"Kiwi, in natura",Café da Manhã,1,1,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Kiwi, in natura",Lanche da Tarde,6,6,100.0,100.0,,,False,observed_support,False
regular,"Laranja, in natura",Almoço,3,3,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Laranja, in natura",Lanche da Manhã,2,2,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Leite, vaca, desnatado, em pó",Ceia,1,1,20.0,20.0,,,False,weak_lt_5_occurrences,False
regular,"Leite, vaca, desnatado, fluído (média de diferentes amostras)",Café da Manhã,5,5,150.0,200.0,,,False,observed_support,False
regular,"Leite, vaca, desnatado, fluído (média de diferentes amostras)",Ceia,94,50,150.0,300.0,150.0,200.0,True,observed_support,False
regular,"Leite, vaca, desnatado, fluído (média de diferentes amostras)",Lanche da Tarde,4,3,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Leite, vaca, integral, em pó",Ceia,1,1,30.0,30.0,,,False,weak_lt_5_occurrences,False
regular,"Leite, vaca, integral, fluído",Café da Manhã,19,17,150.0,200.0,,,False,observed_support,False
regular,"Leite, vaca, integral, fluído",Ceia,30,28,150.0,200.0,200.0,200.0,True,observed_support,False
regular,"Leite, vaca, integral, fluído",Lanche da Tarde,2,2,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Leite, vaca, semidesnatado, UHT",Café da Manhã,4,4,200.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Leite, vaca, semidesnatado, UHT",Ceia,8,7,200.0,200.0,,,False,observed_support,False
regular,"Leite, vaca, semidesnatado, UHT",Lanche da Tarde,6,6,200.0,200.0,,,False,observed_support,False
regular,"Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal",Almoço,38,37,80.0,150.0,97.0,150.0,True,observed_support,False
regular,"Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal",Jantar,8,8,80.0,120.0,,,False,observed_support,False
regular,"Linhaça, semente",Lanche da Manhã,20,20,10.0,15.0,10.0,15.0,True,observed_support,False
regular,"Linhaça, semente",Lanche da Tarde,1,1,10.0,10.0,,,False,weak_lt_5_occurrences,False
regular,"Macarrão, trigo, c/ ovos, c/ alho e óleo, c/ sal",Jantar,7,7,100.0,120.0,,,False,observed_support,False
regular,"Macarrão, trigo, c/ vegetais, c/ sal",Almoço,4,4,180.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Macarrão, trigo, c/ vegetais, c/ sal",Jantar,3,3,180.0,250.0,,,False,weak_lt_5_occurrences,False
regular,"Macarrão, trigo, cozido, drenado, s/ óleo, c/ sal",Almoço,10,10,120.0,200.0,,,False,observed_support,False
regular,"Macarrão, trigo, cozido, drenado, s/ óleo, c/ sal",Jantar,51,30,100.0,200.0,120.0,200.0,True,observed_support,False
regular,"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal",Almoço,9,9,120.0,200.0,,,False,observed_support,False
regular,"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal",Jantar,26,19,100.0,150.0,100.0,150.0,True,observed_support,False
regular,"Mamão, Papaia, polpa, in natura",Café da Manhã,16,13,150.0,250.0,,,False,observed_support,False
regular,"Mamão, Papaia, polpa, in natura",Ceia,5,5,100.0,150.0,,,False,observed_support,False
regular,"Mamão, Papaia, polpa, in natura",Lanche da Manhã,45,38,120.0,200.0,150.0,200.0,True,observed_support,False
regular,"Mamão, Papaia, polpa, in natura",Lanche da Tarde,2,2,120.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal",Almoço,32,32,120.0,180.0,120.0,163.5,True,observed_support,False
regular,"Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal",Jantar,4,4,120.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Mandioca, farinha, crua",Almoço,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Mandioca, farinha, crua",Jantar,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Manteiga, c/ sal",Café da Manhã,13,13,10.0,15.0,,,False,observed_support,False
regular,"Manteiga, c/ sal",Lanche da Tarde,1,1,10.0,10.0,,,False,weak_lt_5_occurrences,False
regular,"Maçã, c/ casca, in natura",Ceia,14,12,100.0,130.0,,,False,observed_support,False
regular,"Maçã, c/ casca, in natura",Lanche da Manhã,31,23,130.0,200.0,130.0,200.0,True,observed_support,False
regular,"Maçã, c/ casca, in natura",Lanche da Tarde,38,32,130.0,150.0,130.0,130.0,True,observed_support,False
regular,"Melancia, polpa, in natura",Lanche da Manhã,17,17,200.0,300.0,,,False,observed_support,False
regular,"Melão, polpa, in natura",Café da Manhã,5,5,200.0,250.0,,,False,observed_support,False
regular,"Melão, polpa, in natura",Ceia,2,2,150.0,200.0,,,False,weak_lt_5_occurrences,False
regular,"Melão, polpa, in natura",Lanche da Manhã,23,23,150.0,250.0,200.0,200.0,True,observed_support,False
regular,"Mingau, de amido de milho (maisena)",Café da Manhã,5,5,200.0,200.0,,,False,observed_support,False
regular,"Morango, in natura",Lanche da Tarde,10,10,150.0,150.0,,,False,observed_support,False
regular,"Nabo, c/ casca, cru",Jantar,1,1,50.0,50.0,,,False,weak_lt_5_occurrences,False
regular,"Noz, crua",Ceia,9,9,15.0,20.0,,,False,observed_support,False
regular,"Noz, crua",Lanche da Manhã,8,8,15.0,15.0,,,False,observed_support,False
regular,"Omelete, c/ ovo de galinha, c/ queijo muçarela, c/ sal",Jantar,3,3,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Omelete, frios, c/ sal",Jantar,1,1,100.0,100.0,,,False,weak_lt_5_occurrences,False
regular,"Omelete, vegetais, c/ sal",Almoço,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Omelete, vegetais, c/ sal",Jantar,24,24,120.0,250.0,124.5,200.0,True,observed_support,False
regular,"Ovo, galinha, inteiro, cozido, c/ sal",Café da Manhã,49,43,50.0,100.0,50.0,100.0,True,observed_support,False
regular,"Ovo, galinha, inteiro, cozido, c/ sal",Jantar,10,10,50.0,150.0,,,False,observed_support,False
regular,"Ovo, galinha, inteiro, frito (c/ óleo de soja), c/ sal",Café da Manhã,3,3,50.0,50.0,,,False,weak_lt_5_occurrences,False
regular,"Ovo, galinha, inteiro, frito (c/ óleo de soja), c/ sal",Jantar,1,1,50.0,50.0,,,False,weak_lt_5_occurrences,False
regular,"Ovo, galinha, mexido, c/ margarina, c/ sal",Café da Manhã,54,44,50.0,120.0,50.0,100.0,True,observed_support,False
regular,"Ovo, galinha, mexido, c/ margarina, c/ sal",Jantar,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Peixe, água doce, filé, ensopado (c/ cebola, tomate e pimentão), c/ óleo, c/ sal (média de 7 espécies)",Almoço,1,1,150.0,150.0,,,False,weak_lt_5_occurrences,False
regular,"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)",Almoço,7,7,120.0,200.0,,,False,observed_support,False
regular,"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)",Jantar,10,10,120.0,150.0,,,False,observed_support,False
