food_original,mapping_kind,mapped_tbca_name,tbca_code,tbca_record_name,tbca_record_exists,carbon_gco2e_per_100g,water_l_per_100g,ecological_points_per_100g,environmental_mapping_exists,occurrence_count,profiles,used_names_sharing_target,all_map_names_sharing_target,ambiguity_flags,selection_provenance
"Aveia, crua (média de diferentes tipos)",non_identity_unreviewed,"Aveia, crua, Brasil (média de diferentes tipos)",BRC0021A,"Aveia, crua, Brasil (média de diferentes tipos)",True,73.0,456.0,1.0,True,226,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Avelã , crua, s/ sal",non_identity_unreviewed,"Acarajé, s/ sal",BRC0061T,"Acarajé, s/ sal",True,405.0,1912.0,3.4,True,27,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Azeite, oliva",non_identity_unreviewed,"Azeite, oliva, frito",BRC0044D,"Azeite, oliva, frito",True,294.0,736.0,7.5,True,181,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Azeitona, verde, conserva, drenada",non_identity_unreviewed,"Azeitona, verde, conserva, drenada, Brasil",BRC0121B,"Azeitona, verde, conserva, drenada, Brasil",True,110.0,1356.0,1.0,True,1,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
Baba de moça,identity,Baba de moça,BRC0127K,Baba de moça,True,221.0,202.0,1.1,True,3,regular,1,1,none,identity_match
"Banana, da terra, assada, s/ adição de ingredientes",identity,"Banana, da terra, assada, s/ adição de ingredientes",BRC0107C,"Banana, da terra, assada, s/ adição de ingredientes",True,155.0,146.0,0.7,True,59,regular|vegan|vegetarian,1,1,none,identity_match
"Banana, in natura",non_identity_unreviewed,"Banana, Figo,in natura, Brasil",BRC0093C,"Banana, Figo,in natura, Brasil",True,139.0,146.0,0.7,True,215,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Barra de cereal, diet",non_identity_unreviewed,"Barra de cereal, dietética (dado importado)",BRC0064N,"Barra de cereal, dietética (dado importado)",True,290.0,177.0,1.0,True,11,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal",identity,"Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal",BRC0911B,"Batata baroa (mandioquinha, batata salsa), cozida, drenada, s/ óleo, c/ sal",True,57.0,121.0,0.2,True,38,regular|vegan|vegetarian,1,1,none,identity_match
"Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal",identity,"Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0907B,"Batata, doce, s/ casca, cozida, drenada, s/ óleo, c/ sal",True,9.0,55.0,0.7,True,150,regular|vegan|vegetarian,1,1,none,identity_match
"Batata, inglesa, s/ casca, assada, s/ óleo, c/ sal",identity,"Batata, inglesa, s/ casca, assada, s/ óleo, c/ sal",BRC0141B,"Batata, inglesa, s/ casca, assada, s/ óleo, c/ sal",True,56.0,90.0,0.4,True,4,regular|vegetarian,1,1,none,identity_match
"Batata, inglesa, s/ casca, cozida, drenada, s/ óleo, c/ sal",identity,"Batata, inglesa, s/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0117B,"Batata, inglesa, s/ casca, cozida, drenada, s/ óleo, c/ sal",True,53.0,90.0,0.4,True,36,regular|vegan,1,1,none,identity_match
"Batata, inglesa, sauté (c/ margarina e salsa), c/ sal",non_identity_unreviewed,"Batata, inglesa, sauté (c/ margarina e salsa), s/ sal",BRC0103B,"Batata, inglesa, sauté (c/ margarina e salsa), s/ sal",True,66.0,92.0,0.7,True,8,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Bebida, café - infusão 8% - média, c/ leite (meio a meio), ""média"", s/ açúcar",identity,"Bebida, café - infusão 8% - média, c/ leite (meio a meio), ""média"", s/ açúcar",BRC0081H,"Bebida, café - infusão 8% - média, c/ leite (meio a meio), ""média"", s/ açúcar",True,70.0,69.0,0.4,True,22,regular|vegetarian,1,1,none,identity_match
"Bebida, café, infusão 10%, s/ açúcar",non_identity_unreviewed,"Bebida, café, infusão 10%, c/ açúcar",BRC0042H,"Bebida, café, infusão 10%, c/ açúcar",True,3.0,4.0,0.0,True,237,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Bebida, café, infusão 8% - médio, s/ açúcar",non_identity_unreviewed,"Bebida, café, infusão 8% - médio, c/ açúcar",BRC0063H,"Bebida, café, infusão 8% - médio, c/ açúcar",True,3.0,4.0,0.0,True,9,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Bebida, capuccino tradicional (leite desnatado, café - infusão 10% e canela em pó), s/ açúcar",identity,"Bebida, capuccino tradicional (leite desnatado, café - infusão 10% e canela em pó), s/ açúcar",BRC0109H,"Bebida, capuccino tradicional (leite desnatado, café - infusão 10% e canela em pó), s/ açúcar",True,95.0,103.0,0.6,True,2,vegetarian,1,1,none,identity_match
"Bebida, chá, infusão, s/ açúcar (média de várias ervas)",non_identity_unreviewed,"Bebida, chá, infusão, c/ açúcar (média de várias ervas)",BRC0050H,"Bebida, chá, infusão, c/ açúcar (média de várias ervas)",True,10.0,2.0,0.0,True,27,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Bebida, chá, mate, infusão 5%, s/ açúcar",non_identity_unreviewed,"Bebida, chá, mate, infusão 5%, c/ açúcar",BRC0055H,"Bebida, chá, mate, infusão 5%, c/ açúcar",True,3.0,2.0,0.0,True,20,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Bebida, chá, preto, infusão 5%, s/ açúcar",non_identity_unreviewed,"Bebida, chá, preto, infusão 5%, c/ açúcar",BRC0049H,"Bebida, chá, preto, infusão 5%, c/ açúcar",True,3.0,2.0,0.0,True,34,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Bebida, infusão, erva-mate, chimarrão, (70g de matéria seca - 30% de ramos e 70% de folhas - em 1 L de água)",non_identity_unreviewed,"Bebida, infusão, erva-mate, chimarrão, (70g de matéria seca - 30% de ramos e 70% de folhas - em 1 L de água),",BRC0022H,"Bebida, infusão, erva-mate, chimarrão, (70g de matéria seca - 30% de ramos e 70% de folhas - em 1 L de água),",True,33.0,740.0,4.7,True,3,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Bebida, infusão, hortelã rasteira, planta, folha, s/ açúcar",non_identity_unreviewed,"Bebida, chá, infusão, cidreira, planta, folha, c/ açúcar",BRC0052H,"Bebida, chá, infusão, cidreira, planta, folha, c/ açúcar",True,46.0,80.0,0.2,True,8,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Bebida, refresco, em pó, preparado, c/ água",identity,"Bebida, refresco, em pó, preparado, c/ água",BRC0148H,"Bebida, refresco, em pó, preparado, c/ água",True,48.0,1154.0,5.8,True,3,vegetarian,1,1,none,identity_match
"Beringela, c/ casca, cozida, drenada, s/ óleo, c/ sal",non_identity_unreviewed,"Berinjela, c/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0157B,"Berinjela, c/ casca, cozida, drenada, s/ óleo, c/ sal",True,72.0,141.0,0.3,True,1,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Berinjela recheada, c/ muçarela, c/ vegetais, c/ sal",identity,"Berinjela recheada, c/ muçarela, c/ vegetais, c/ sal",BRC0696B,"Berinjela recheada, c/ muçarela, c/ vegetais, c/ sal",True,200.0,243.0,0.7,True,5,vegetarian,1,1,none,identity_match
"Berinjela, c/ casca, grelhada, s/ gordura, c/ sal",non_identity_unreviewed,"Berinjela, c/ casca, grelhada, s/ óleo, c/ sal",BRC0287B,"Berinjela, c/ casca, grelhada, s/ óleo, c/ sal",True,59.0,141.0,0.3,True,22,vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Berinjela, refogada (c/ óleo, cebola e alho), c/ sal",identity,"Berinjela, refogada (c/ óleo, cebola e alho), c/ sal",BRC0359B,"Berinjela, refogada (c/ óleo, cebola e alho), c/ sal",True,73.0,146.0,0.3,True,38,regular|vegan|vegetarian,1,1,none,identity_match
"Beterraba, cozida, drenada, s/ óleo, c/ sal",identity,"Beterraba, cozida, drenada, s/ óleo, c/ sal",BRC0912B,"Beterraba, cozida, drenada, s/ óleo, c/ sal",True,26.0,97.0,0.1,True,54,regular|vegan|vegetarian,1,1,none,identity_match
"Beterraba, refogada (c/ óleo, cebola e alho), c/ sal",identity,"Beterraba, refogada (c/ óleo, cebola e alho), c/ sal",BRC0327B,"Beterraba, refogada (c/ óleo, cebola e alho), c/ sal",True,29.0,103.0,0.1,True,10,regular|vegan,1,1,none,identity_match
"Beterraba, s/ casca, crua",non_identity_unreviewed,"Beterraba, s/ casca, crua, Brasil",BRC0015B,"Beterraba, s/ casca, crua, Brasil",True,13.0,96.0,0.1,True,68,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Biscoito, arroz",non_identity_unreviewed,"Biscoito, palmier, caseiro",BRC0946A,"Biscoito, palmier, caseiro",True,155.0,151.0,1.0,True,127,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Biscoito, doce, maisena",non_identity_unreviewed,"Biscoito, doce, Maria, Brasil",BRC0028A,"Biscoito, doce, Maria, Brasil",True,164.0,223.0,1.1,True,39,regular|vegetarian,1,2,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Biscoito, doce, simples (média de diferentes tipos)",non_identity_unreviewed,"Biscoito, doce, simples (média de diferentes tipos), Brasil",BRC0027A,"Biscoito, doce, simples (média de diferentes tipos), Brasil",True,169.0,305.0,1.3,True,7,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Biscoito, salgado, cream cracker",non_identity_unreviewed,"Biscoito, salgado, cream cracker, Brasil",BRC0201A,"Biscoito, salgado, cream cracker, Brasil",True,155.0,151.0,1.0,True,16,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Biscoito, salgado, cream cracker , integral",non_identity_unreviewed,"Biscoito, salgado, cream cracker, integral, Brasil",BRC0059A,"Biscoito, salgado, cream cracker, integral, Brasil",True,100.0,62.0,0.9,True,8,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Brócolis, flor, refogado (c/ óleo, cebola e alho), c/ sal",identity,"Brócolis, flor, refogado (c/ óleo, cebola e alho), c/ sal",BRC0164B,"Brócolis, flor, refogado (c/ óleo, cebola e alho), c/ sal",True,55.0,93.0,0.2,True,22,regular|vegan|vegetarian,1,1,none,identity_match
"Brócolis, flor, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal",identity,"Brócolis, flor, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal",BRC0262B,"Brócolis, flor, à milanesa (farinha de trigo, ovo e farinha de rosca), frita em imersão, c/ sal",True,106.0,139.0,0.7,True,1,vegetarian,1,1,none,identity_match
"Brócolos, flor, cozido, drenado, s/ óleo, c/ sal",non_identity_unreviewed,"Brócolis, flor, cozido, drenado, s/ óleo, c/ sal",BRC0150B,"Brócolis, flor, cozido, drenado, s/ óleo, c/ sal",True,53.0,86.0,0.2,True,191,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Cacau, in natura",non_identity_unreviewed,"Pitaia,in natura",BRC0225C,"Pitaia,in natura",True,90.0,600.0,0.6,True,3,vegan,5,10,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Canela, em pó",non_identity_unreviewed,"Chantily, em pó, Brasil",BRC0009R,"Chantily, em pó, Brasil",True,33.0,816.0,5.0,True,4,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Canelone, c/ muçarela, s/ molho, caseiro",identity,"Canelone, c/ muçarela, s/ molho, caseiro",BRC0568A,"Canelone, c/ muçarela, s/ molho, caseiro",True,590.0,457.0,2.3,True,1,vegetarian,1,1,none,identity_match
"Canelone, c/ ricota, s/ molho, caseiro, c/ sal",identity,"Canelone, c/ ricota, s/ molho, caseiro, c/ sal",BRC0570A,"Canelone, c/ ricota, s/ molho, caseiro, c/ sal",True,275.0,186.0,1.0,True,15,regular|vegetarian,1,1,none,identity_match
"Canjica, milho, branca, cozida, drenada",non_identity_unreviewed,"Canjica, milho, branca, cozida, drenada, s/ açúcar, Brasil",BRC0185A,"Canjica, milho, branca, cozida, drenada, s/ açúcar, Brasil",True,61.0,117.0,0.6,True,4,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Caqui, in natura",non_identity_unreviewed,"Pitaia,in natura",BRC0225C,"Pitaia,in natura",True,66.0,443.0,0.5,True,9,vegan,5,10,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, c/ sal",non_identity_unreviewed,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, s/ sal",BRC0355F,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, s/ sal",True,4010.0,2694.0,16.7,True,11,regular,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Carne, boi, acém, moída, refogada (c/ óleo, cebola e alho), c/ sal",non_identity_unreviewed,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, s/ sal",BRC0355F,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, s/ sal",True,4021.0,2694.0,16.7,True,9,regular,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Carne, boi, alcatra, frita (c/ óleo de soja), c/ sal",identity,"Carne, boi, alcatra, frita (c/ óleo de soja), c/ sal",BRC0608F,"Carne, boi, alcatra, frita (c/ óleo de soja), c/ sal",True,4309.0,2917.0,18.2,True,2,regular,1,1,none,identity_match
"Carne, boi, contrafilé, s/ gordura, grelhada/assada, s/ óleo, c/ sal",identity,"Carne, boi, contrafilé, s/ gordura, grelhada/assada, s/ óleo, c/ sal",BRC0617F,"Carne, boi, contrafilé, s/ gordura, grelhada/assada, s/ óleo, c/ sal",True,4655.0,3134.0,19.4,True,10,regular,1,1,none,identity_match
"Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal",identity,"Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal",BRC0595F,"Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal",True,4655.0,3134.0,19.4,True,21,regular,1,1,none,identity_match
"Carne, boi, lagarto, cozida, s/ óleo, c/ sal",identity,"Carne, boi, lagarto, cozida, s/ óleo, c/ sal",BRC0625F,"Carne, boi, lagarto, cozida, s/ óleo, c/ sal",True,4655.0,3134.0,19.4,True,16,regular,1,1,none,identity_match
"Carne, boi, maminha, grelhada/assada, s/ óleo, c/ sal",identity,"Carne, boi, maminha, grelhada/assada, s/ óleo, c/ sal",BRC0816F,"Carne, boi, maminha, grelhada/assada, s/ óleo, c/ sal",True,4721.0,3134.0,19.4,True,18,regular,1,1,none,identity_match
"Carne, boi, miolo de alcatra, grelhada/assada, s/ óleo, c/ sal",identity,"Carne, boi, miolo de alcatra, grelhada/assada, s/ óleo, c/ sal",BRC0606F,"Carne, boi, miolo de alcatra, grelhada/assada, s/ óleo, c/ sal",True,4721.0,3134.0,19.4,True,16,regular,1,1,none,identity_match
"Carne, boi, músculo, s/ gordura, cozida, s/ óleo, c/ sal",identity,"Carne, boi, músculo, s/ gordura, cozida, s/ óleo, c/ sal",BRC0670F,"Carne, boi, músculo, s/ gordura, cozida, s/ óleo, c/ sal",True,4693.0,3134.0,19.4,True,13,regular,1,1,none,identity_match
"Carne, boi, patinho, s/ gordura, grelhada/assada, s/ óleo, c/ sal",identity,"Carne, boi, patinho, s/ gordura, grelhada/assada, s/ óleo, c/ sal",BRC0632F,"Carne, boi, patinho, s/ gordura, grelhada/assada, s/ óleo, c/ sal",True,4243.0,2812.0,17.4,True,68,regular,1,1,none,identity_match
"Carne, boi, seca, cozida, s/ óleo",non_identity_unreviewed,"Carne, boi, seca, cozida, s/ óleo, Brasil",BRC0085F,"Carne, boi, seca, cozida, s/ óleo, Brasil",True,5011.0,4698.0,3.5,True,2,regular,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Carne, frango, coxa, c/ pele, assada, s/ óleo, c/ sal",identity,"Carne, frango, coxa, c/ pele, assada, s/ óleo, c/ sal",BRC0842F,"Carne, frango, coxa, c/ pele, assada, s/ óleo, c/ sal",True,483.0,651.0,3.9,True,9,regular,1,1,none,identity_match
"Carne, frango, coxa, s/ pele, cozida, s/ óleo, c/ sal",identity,"Carne, frango, coxa, s/ pele, cozida, s/ óleo, c/ sal",BRC0843F,"Carne, frango, coxa, s/ pele, cozida, s/ óleo, c/ sal",True,509.0,651.0,3.9,True,6,regular,1,1,none,identity_match
"Carne, frango, peito, s/ pele, cozida, drenada, s/ óleo, c/ sal",identity,"Carne, frango, peito, s/ pele, cozida, drenada, s/ óleo, c/ sal",BRC0195F,"Carne, frango, peito, s/ pele, cozida, drenada, s/ óleo, c/ sal",True,509.0,651.0,3.9,True,6,regular,1,1,none,identity_match
"Carne, frango, peito, s/ pele, grelhada, s/ gordura, s/ óleo, c/ sal",identity,"Carne, frango, peito, s/ pele, grelhada, s/ gordura, s/ óleo, c/ sal",BRC0230F,"Carne, frango, peito, s/ pele, grelhada, s/ gordura, s/ óleo, c/ sal",True,483.0,651.0,3.9,True,82,regular,1,1,none,identity_match
"Carne, frango, peito, s/ pele, refogado (c/ óleo, cebola e alho), c/ sal",non_identity_unreviewed,"Carne, frango, peito, s/ pele, refogado (c/ óleo, cebola e alho), c/ sal, Brasil",BRC0235F,"Carne, frango, peito, s/ pele, refogado (c/ óleo, cebola e alho), c/ sal, Brasil",True,487.0,632.0,3.7,True,12,regular,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Carne, peru, peito, s/ pele, grelhada/assada, s/ óleo, c/ sal",identity,"Carne, peru, peito, s/ pele, grelhada/assada, s/ óleo, c/ sal",BRC0783F,"Carne, peru, peito, s/ pele, grelhada/assada, s/ óleo, c/ sal",True,374.0,445.0,2.6,True,7,regular,1,1,none,identity_match
"Carne, porco, lombo, grelhada/assada, s/ óleo, c/ sal",identity,"Carne, porco, lombo, grelhada/assada, s/ óleo, c/ sal",BRC0697F,"Carne, porco, lombo, grelhada/assada, s/ óleo, c/ sal",True,778.0,1094.0,5.1,True,45,regular,1,1,none,identity_match
"Castanha de caju, crua, s/ sal",non_identity_unreviewed,"Castanha de caju, crua, s/ sal, Brasil",BRC0012U,"Castanha de caju, crua, s/ sal, Brasil",True,327.0,5907.0,0.9,True,103,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Castanha do Brasil, crua",non_identity_unreviewed,"Castanha do Brasil, crua, Brasil",BRC0003U,"Castanha do Brasil, crua, Brasil",True,327.0,1600.0,0.9,True,185,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Catchup, tomate, molho",non_identity_unreviewed,"Catchup, tomate, molho (dado importado)",BRC0030L,"Catchup, tomate, molho (dado importado)",True,156.0,24.0,3.4,True,2,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Cebola, branca, assada, s/ óleo, c/ sal",identity,"Cebola, branca, assada, s/ óleo, c/ sal",BRC0357B,"Cebola, branca, assada, s/ óleo, c/ sal",True,24.0,52.0,0.1,True,1,regular,1,1,none,identity_match
"Cebolinha, verde, crua",non_identity_unreviewed,"Cebolinha, verde, crua, Brasil",BRC0019B,"Cebolinha, verde, crua, Brasil",True,23.0,176.0,0.1,True,8,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Cenoura, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal",identity,"Cenoura, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal",BRC0333B,"Cenoura, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal",True,46.0,96.0,0.3,True,7,vegetarian,1,1,none,identity_match
